source_id,title,url,method,status,raw_path,captured_at,error
SRC-robotics-098,HIL-SERL: Precise and Dexterous Robotic Manipulation via Human-in-the-Loop Reinforcement Learning,https://arxiv.org/abs/2410.21845,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-098-hil-serl-precise-and-dexterous-robotic-manipulation-via-human-in-the-loop-reinfo.md,2026-06-04T06:08:12+00:00,
SRC-robotics-099,Recovery and Correction: Improving Robotic Manipulation with Real-World Failed Data,https://arxiv.org/abs/2509.07953,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-099-recovery-and-correction-improving-robotic-manipulation-with-real-world-failed-da.md,2026-06-04T06:08:12+00:00,
SRC-robotics-100,Learning while Deploying: Bridging Train-Test Gaps in Robot Manipulation,https://arxiv.org/abs/2605.00416,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-100-learning-while-deploying-bridging-train-test-gaps-in-robot-manipulation.md,2026-06-04T06:08:12+00:00,
SRC-robotics-101,UMI-3D hardware repository,https://github.com/Physical-Intelligence-Laboratory/UMI-3D-Hardware,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-101-umi-3d-hardware-repository.md,2026-06-04T06:08:12+00:00,
SRC-robotics-102,CoinFT force-torque fingertip sensor project,https://coin-ft.github.io/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-102-coinft-force-torque-fingertip-sensor-project.md,2026-06-04T06:08:12+00:00,
SRC-robotics-103,LimX Dynamics about page,https://www.limx.cn/zh/about,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-103-limx-dynamics-about-page.md,2026-06-04T06:08:12+00:00,
SRC-robotics-104,LimX TRON 1 product page,https://www.limxdynamics.com/en/products/tron1,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-104-limx-tron-1-product-page.md,2026-06-04T06:08:12+00:00,
SRC-robotics-105,TRON 1 user manual,https://support.limxdynamics.com/file/TRON1-%E7%94%A8%E6%88%B7%E6%89%8B%E5%86%8C-V1.0.pdf,pdf-download,failed,raw/robotics-embodied-ai/documents/SRC-robotics-105-tron-1-user-manual.pdf,2026-06-04T06:08:12+00:00,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032)>
SRC-robotics-106,LimX Oli product page,https://www.limxdynamics.com/en/products/oli,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-106-limx-oli-product-page.md,2026-06-04T06:08:12+00:00,
SRC-robotics-107,LimX TRON 2 product page,https://www.limxdynamics.com/en/products/tron2,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-107-limx-tron-2-product-page.md,2026-06-04T06:08:12+00:00,
SRC-robotics-108,FluxVLA Engine documentation,https://fluxvla.limxdynamics.com/,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-108-fluxvla-engine-documentation.md,2026-06-04T06:08:12+00:00,
SRC-robotics-109,FluxVLA GitHub repository,https://github.com/FluxVLA/FluxVLA,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-109-fluxvla-github-repository.md,2026-06-04T06:08:12+00:00,
SRC-robotics-110,逐际动力完成2亿美元B轮融资,https://www.stcn.com/article/detail/3624874.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-110-2-b.md,2026-06-04T06:08:12+00:00,
SRC-robotics-111,逐际动力半年完成5亿元A轮系列融资,https://auto.gasgoo.com/news/202503/10I70420134C601.shtml,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-111-5-a.md,2026-06-04T06:08:12+00:00,
SRC-robotics-112,机器人一级融资持续创新高行业周报,https://pdf.dfcfw.com/pdf/H3_AP202604131821146133_1.pdf,pdf-download,exists,raw/robotics-embodied-ai/documents/SRC-robotics-112-source.pdf,2026-06-04T06:08:12+00:00,
